ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785460106.87,1,1,0,0,0,0,0
1785460107.87,2,2,0,0,0,0,0
1785460108.88,1,1,0,0,0,0,0
1785460109.88,2,2,0,0,0,0,0
1785460110.88,3,3,0,0,0,0,0
1785460111.88,2,2,0,0,0,0,0
1785460112.88,0,0,0,0,0,0,0
1785460113.88,1,1,0,0,0,0,0
1785460114.88,1,1,0,0,0,0,0
1785460115.88,4,4,0,0,0,0,0
1785460116.88,2,2,0,0,0,0,0
1785460117.88,0,0,0,0,0,0,0
1785460118.88,0,0,0,0,0,0,0
1785460119.88,0,0,0,0,0,0,0
1785460120.89,1,1,0,0,0,0,0
1785460121.89,1,1,0,0,0,0,0
1785460122.89,1,1,0,0,0,0,0
1785460123.89,2,2,0,0,0,0,0
1785460124.89,3,3,0,0,0,0,0
1785460125.89,1,1,0,0,0,0,0
1785460126.89,1,1,0,0,0,0,0
1785460127.89,2,2,0,0,0,0,0
1785460128.89,0,0,0,0,0,0,0
1785460129.89,0,0,0,0,0,0,0
1785460130.89,4,4,0,0,0,0,0
1785460131.89,1,1,0,0,0,0,0
1785460132.89,1,1,0,0,0,0,0
1785460133.89,0,0,0,0,0,0,0
1785460134.89,0,0,0,0,0,0,0
1785460135.89,1,1,0,0,0,0,0
1785460136.89,1,1,0,0,0,0,0
1785460137.90,0,0,0,0,0,0,0
1785460138.90,0,0,0,0,0,0,0
1785460139.91,0,0,0,0,0,0,0
1785460140.91,0,0,0,0,0,0,0
1785460141.91,0,0,0,0,0,0,0
1785460142.91,0,0,0,0,0,0,0
1785460143.92,0,0,0,0,0,0,0
1785460144.92,0,0,0,0,0,0,0
