ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785276236.81,1,0,0,0,0,0,1
1785276236.91,0,0,0,0,0,0,0
1785276237.01,1,1,0,0,0,0,0
1785276237.12,1,0,0,0,0,0,1
1785276237.22,0,0,0,0,0,0,0
1785276237.32,0,0,0,0,0,0,0
1785276237.42,1,1,0,0,0,0,0
1785276237.52,0,0,0,0,0,0,0
1785276237.62,0,0,0,0,0,0,0
1785276237.72,1,1,0,0,0,0,0
1785276237.82,0,0,0,0,0,0,0
1785276237.92,0,0,0,0,0,0,0
1785276238.02,0,0,0,0,0,0,0
1785276238.12,0,0,0,0,0,0,0
1785276238.22,0,0,0,0,0,0,0
1785276238.33,0,0,0,0,0,0,0
1785276238.43,0,0,0,0,0,0,0
1785276238.53,0,0,0,0,0,0,0
1785276238.63,1,0,0,0,0,0,1
1785276238.73,0,0,0,0,0,0,0
1785276238.83,0,0,0,0,0,0,0
1785276238.93,0,0,0,0,0,0,0
1785276239.03,0,0,0,0,0,0,0
1785276239.13,1,1,0,0,0,0,0
1785276239.23,0,0,0,0,0,0,0
1785276239.34,0,0,0,0,0,0,0
1785276239.44,0,0,0,0,0,0,0
1785276239.54,0,0,0,0,0,0,0
1785276239.64,0,0,0,0,0,0,0
1785276239.74,0,0,0,0,0,0,0
1785276239.84,0,0,0,0,0,0,0
1785276239.94,1,1,0,0,0,0,0
1785276240.05,0,0,0,0,0,0,0
1785276240.15,1,0,0,0,0,0,1
1785276240.25,0,0,0,0,0,0,0
1785276240.35,0,0,0,0,0,0,0
1785276240.45,0,0,0,0,0,0,0
1785276240.55,2,1,0,0,0,0,1
1785276240.65,1,0,0,0,0,0,1
1785276240.75,0,0,0,0,0,0,0
1785276240.86,1,1,0,0,0,0,0
1785276240.96,0,0,0,0,0,0,0
1785276241.06,2,1,0,0,1,0,0
1785276241.16,0,0,0,0,0,0,0
1785276241.26,0,0,0,0,0,0,0
1785276241.36,0,0,0,0,0,0,0
1785276241.46,0,0,0,0,0,0,0
1785276241.56,0,0,0,0,0,0,0
1785276241.66,0,0,0,0,0,0,0
1785276241.76,1,0,0,0,0,0,1
1785276241.86,0,0,0,0,0,0,0
1785276241.96,1,1,0,0,0,0,0
1785276242.06,1,0,0,0,0,0,1
1785276242.16,1,0,0,0,0,0,1
1785276242.27,0,0,0,0,0,0,0
1785276242.37,1,0,0,0,0,0,1
1785276242.47,1,0,0,0,0,0,1
1785276242.57,0,0,0,0,0,0,0
1785276242.67,0,0,0,0,0,0,0
1785276242.77,0,0,0,0,0,0,0
1785276242.87,0,0,0,0,0,0,0
1785276242.97,0,0,0,0,0,0,0
1785276243.07,0,0,0,0,0,0,0
1785276243.18,1,0,0,1,0,0,0
1785276243.28,0,0,0,0,0,0,0
1785276243.38,0,0,0,0,0,0,0
1785276243.48,0,0,0,0,0,0,0
1785276243.58,1,1,0,0,0,0,0
1785276243.68,1,1,0,0,0,0,0
1785276243.78,0,0,0,0,0,0,0
1785276243.88,0,0,0,0,0,0,0
1785276243.98,0,0,0,0,0,0,0
1785276244.08,0,0,0,0,0,0,0
1785276244.19,0,0,0,0,0,0,0
