ts,seq,amount
1785275556.754,266,30000
1785275556.780,267,10000
1785275556.808,268,10000
1785275556.836,269,3000
1785275556.864,270,30000
1785275556.895,271,5000
1785275556.918,272,30000
1785275556.946,273,1000
1785275556.974,274,10000
1785275556.998,275,1000
1785275557.023,276,5000
1785275557.047,277,10000
1785275557.070,278,1000
1785275557.096,279,10000
1785275557.121,280,30000
1785275557.145,281,30000
1785275557.169,282,5000
1785275557.195,283,10000
1785275557.219,284,10000
1785275557.248,285,3000
1785275557.275,286,30000
1785275557.301,287,5000
1785275557.329,288,5000
1785275557.358,289,1000
1785275557.385,290,10000
1785275557.411,291,1000
1785275557.437,292,3000
1785275557.461,293,30000
1785275557.484,294,10000
1785275557.508,295,10000
1785275557.536,296,5000
1785275557.563,297,1000
1785275557.590,298,1000
1785275557.613,299,1000
1785275557.642,300,30000
1785275557.667,301,5000
1785275557.692,302,10000
1785275557.721,303,3000
1785275557.745,304,5000
1785275557.772,305,1000
1785275557.800,306,10000
1785275557.825,307,3000
1785275557.849,308,5000
1785275557.876,309,10000
1785275557.899,310,10000
1785275557.926,311,5000
1785275557.954,312,30000
1785275557.979,313,5000
1785275558.007,314,1000
1785275558.035,315,5000
1785275558.064,316,5000
1785275558.095,317,30000
1785275558.123,318,3000
1785275558.146,319,5000
1785275558.173,320,10000
1785275558.196,321,30000
1785275558.219,322,10000
1785275558.245,323,5000
1785275558.272,324,5000
1785275558.299,325,30000
1785275558.323,326,1000
1785275558.351,327,30000
1785275558.375,328,3000
1785275558.401,329,3000
1785275558.429,330,30000
1785275558.457,331,3000
1785275558.481,332,1000
1785275558.507,333,1000
1785275558.535,334,5000
1785275558.561,335,5000
1785275558.588,336,10000
1785275558.615,337,10000
1785275558.640,338,3000
1785275558.668,339,1000
1785275558.695,340,5000
1785275558.718,341,3000
1785275558.745,342,10000
1785275558.772,343,3000
1785275558.802,344,1000
1785275558.830,345,3000
1785275558.859,346,30000
1785275558.885,347,5000
1785275558.913,348,3000
1785275558.937,349,5000
1785275558.965,350,3000
1785275558.993,351,30000
1785275559.017,352,1000
1785275559.042,353,30000
1785275559.069,354,1000
1785275559.094,355,10000
1785275559.119,356,5000
1785275559.145,357,1000
1785275559.167,358,5000
1785275559.192,359,5000
1785275559.219,360,3000
1785275559.245,361,30000
1785275559.272,362,5000
1785275559.296,363,10000
1785275559.319,364,5000
1785275559.347,365,1000
1785275559.374,366,1000
1785275559.402,367,1000
1785275559.430,368,10000
1785275559.455,369,1000
1785275559.481,370,10000
1785275559.508,371,10000
1785275559.533,372,30000
1785275559.560,373,1000
1785275559.583,374,10000
1785275559.610,375,10000
1785275559.637,376,1000
1785275559.664,377,5000
1785275559.689,378,3000
1785275559.713,379,1000
1785275559.740,380,1000
1785275559.766,381,3000
1785275559.790,382,10000
1785275559.817,383,1000
1785275559.842,384,3000
1785275559.866,385,1000
1785275559.893,386,1000
1785275559.919,387,3000
1785275559.943,388,10000
1785275559.969,389,30000
1785275559.994,390,5000
1785275560.020,391,10000
1785275560.049,392,3000
1785275560.075,393,30000
1785275560.101,394,1000
1785275560.126,395,3000
1785275560.152,396,1000
1785275560.179,397,1000
1785275560.214,398,3000
1785275560.243,399,5000
1785275560.271,400,10000
1785275560.297,401,5000
1785275560.322,402,10000
1785275560.348,403,5000
1785275560.373,404,10000
1785275560.400,405,1000
1785275560.427,406,3000
1785275560.451,407,30000
1785275560.479,408,3000
1785275560.503,409,30000
1785275560.531,410,1000
1785275560.554,411,5000
1785275560.582,412,30000
1785275560.611,413,3000
1785275560.634,414,1000
1785275560.659,415,10000
1785275560.683,416,3000
1785275560.711,417,3000
1785275560.742,418,10000
1785275560.776,419,1000
1785275560.804,420,30000
1785275560.832,421,3000
1785275560.858,422,30000
1785275560.887,423,3000
1785275560.915,424,3000
1785275560.940,425,3000
1785275560.974,426,1000
1785275560.999,427,1000
1785275561.029,428,30000
1785275561.058,429,10000
1785275561.088,430,1000
1785275561.117,431,10000
1785275561.144,432,10000
1785275561.174,433,1000
1785275561.201,434,30000
1785275561.230,435,10000
1785275561.256,436,3000
1785275561.285,437,3000
1785275561.311,438,5000
1785275561.339,439,30000
1785275561.367,440,10000
1785275561.392,441,10000
1785275561.417,442,3000
1785275561.445,443,30000
1785275561.471,444,3000
1785275561.499,445,5000
1785275561.524,446,10000
1785275561.548,447,5000
1785275561.571,448,1000
1785275561.596,449,30000
1785275561.623,450,30000
1785275561.651,451,5000
1785275561.676,452,3000
1785275561.702,453,5000
1785275561.731,454,1000
1785275561.755,455,5000
1785275561.779,456,5000
1785275561.807,457,1000
1785275561.836,458,5000
1785275561.865,459,5000
1785275561.892,460,10000
1785275561.922,461,30000
1785275561.948,462,3000
1785275561.980,463,3000
1785275562.010,464,5000
1785275562.055,465,10000
1785275562.088,466,5000
1785275562.115,467,1000
1785275562.153,468,1000
1785275562.182,469,3000
1785275562.212,470,3000
1785275562.240,471,5000
1785275562.268,472,3000
1785275562.295,473,5000
1785275562.318,474,10000
1785275562.343,475,30000
1785275562.367,476,1000
1785275562.395,477,1000
1785275562.422,478,3000
1785275562.451,479,1000
1785275562.476,480,30000
1785275562.512,481,3000
1785275562.539,482,10000
1785275562.563,483,1000
1785275562.589,484,1000
1785275562.617,485,10000
1785275562.645,486,5000
1785275562.672,487,30000
1785275562.700,488,5000
1785275562.723,489,1000
1785275562.756,490,30000
1785275562.786,491,1000
1785275562.811,492,10000
1785275562.837,493,1000
1785275562.861,494,30000
1785275562.888,495,10000
1785275562.916,496,1000
1785275562.940,497,3000
1785275562.966,498,10000
1785275562.991,499,3000
1785275563.018,500,3000
1785275563.043,501,10000
1785275563.066,502,5000
1785275563.092,503,10000
1785275563.118,504,1000
1785275563.145,505,3000
1785275563.176,506,3000
1785275563.209,507,1000
1785275563.237,508,1000
1785275563.262,509,3000
1785275563.287,510,1000
1785275563.312,511,10000
1785275563.338,512,30000
1785275563.365,513,3000
1785275563.393,514,3000
1785275563.419,515,30000
1785275563.448,516,5000
1785275563.477,517,3000
1785275563.505,518,3000
1785275563.534,519,1000
1785275563.559,520,30000
1785275563.586,521,5000
1785275563.611,522,3000
1785275563.639,523,3000
1785275563.666,524,1000
1785275563.690,525,1000
1785275563.717,526,5000
1785275563.744,527,30000
1785275563.768,528,3000
1785275563.796,529,5000
1785275563.824,530,5000
1785275563.851,531,10000
1785275563.877,532,30000
1785275563.908,533,3000
1785275563.937,534,30000
1785275563.965,535,1000
1785275563.994,536,10000
1785275564.024,537,10000
1785275564.053,538,5000
1785275564.081,539,5000
1785275564.105,540,5000
1785275564.136,541,3000
1785275564.165,542,5000
1785275564.191,543,10000
1785275564.221,544,1000
1785275564.249,545,5000
1785275564.277,546,1000
1785275564.305,547,1000
1785275564.335,548,5000
1785275564.363,549,10000
1785275564.391,550,30000
1785275564.420,551,30000
1785275564.445,552,5000
1785275564.475,553,30000
1785275564.506,554,10000
1785275564.533,555,1000
1785275564.561,556,1000
1785275564.584,557,10000
1785275564.612,558,3000
1785275564.637,559,5000
1785275564.665,560,3000
1785275564.689,561,30000
1785275564.714,562,30000
1785275564.738,563,10000
1785275564.763,564,3000
1785275564.790,565,1000
1785275564.814,566,5000
1785275564.843,567,5000
1785275564.871,568,3000
1785275564.898,569,30000
1785275564.924,570,10000
1785275564.950,571,5000
1785275564.978,572,30000
1785275565.009,573,1000
1785275565.037,574,30000
1785275565.066,575,3000
1785275565.097,576,5000
1785275565.123,577,3000
1785275565.151,578,5000
1785275565.178,579,5000
1785275565.206,580,1000
1785275565.232,581,10000
1785275565.260,582,30000
1785275565.284,583,10000
1785275565.310,584,3000
1785275565.335,585,1000
1785275565.362,586,10000
1785275565.392,587,10000
1785275565.419,588,5000
1785275565.445,589,1000
1785275565.473,590,5000
1785275565.497,591,1000
1785275565.522,592,1000
1785275565.547,593,5000
1785275565.573,594,30000
1785275565.602,595,5000
1785275565.629,596,30000
1785275565.658,597,1000
1785275565.688,598,1000
1785275565.715,599,1000
1785275565.738,600,5000
1785275565.764,601,1000
1785275565.792,602,5000
1785275565.819,603,10000
1785275565.845,604,5000
