label,table,wal_bytes,elapsed_s,upd0,hot0,newpage0,upd1,hot1,newpage1
ff100-idx0,t0,208250816,2.228669000,0,0,0,500000,0,500000
ff100-idx3,t3,308321024,5.915411000,0,0,0,500000,0,500000
ff100-idx6,t6,407673184,7.879865000,0,0,0,500000,0,500000
ff100-idx10,t10,539509056,13.327117000,0,0,0,500000,0,500000
ff70-idx0,u0,146388144,1.670941000,0,0,0,500000,225807,274193
ff70-idx10,u10,330511664,6.335622000,0,0,0,500000,225807,274193
ff70-idx10-indexedcol,u10,526428880,13.107614000,500000,225807,274193,1000000,225807,424557
ff70-idx10-2ndpass,u10,154614776,3.510558000,1000000,225807,424557,1500000,643357,507007
ff70-idx0-2ndpass,u0,112030592,1.566905000,500000,225807,274193,1000000,575443,424557
