ts,history_list_len,plain_ibd_bytes,part_ibd_bytes
1785436615.4,0,901775360,926941184
1785436616.4,0,901775360,926941184
1785436617.5,0,901775360,926941184
1785436618.6,0,901775360,926941184
1785436619.6,0,901775360,926941184
1785436620.7,0,901775360,926941184
1785436621.8,0,901775360,926941184
1785436622.9,0,901775360,926941184
1785436623.9,0,901775360,931135488
1785436625.0,0,901775360,931135488
1785436626.1,0,901775360,931135488
1785436627.2,0,901775360,931135488
1785436628.2,0,901775360,931135488
1785436629.3,0,901775360,931135488
1785436630.4,0,901775360,931135488
1785436631.5,0,901775360,931135488
1785436632.5,0,901775360,931135488
1785436633.6,0,901775360,931135488
1785436634.7,0,901775360,931135488
1785436635.7,0,901775360,931135488
1785436636.8,0,901775360,935329792
1785436637.9,0,901775360,935329792
1785436639.0,0,901775360,935329792
1785436640.0,0,901775360,935329792
1785436641.1,0,901775360,935329792
1785436642.2,0,901775360,935329792
1785436643.3,0,901775360,935329792
1785436644.4,0,901775360,935329792
1785436645.4,0,901775360,935329792
1785436646.5,0,901775360,935329792
1785436647.5,0,901775360,935329792
1785436648.6,0,901775360,935329792
1785436649.7,0,901775360,935329792
1785436650.8,0,901775360,935329792
1785436651.8,0,901775360,935329792
1785436652.9,0,901775360,935329792
1785436654.0,0,901775360,935329792
1785436655.1,0,901775360,935329792
1785436656.1,0,901775360,935329792
1785436657.2,0,901775360,935329792
1785436658.3,0,901775360,939524096
1785436659.3,0,901775360,939524096
1785436660.4,0,901775360,939524096
1785436661.5,0,901775360,939524096
1785436662.6,0,901775360,939524096
1785436663.6,1,901775360,939524096
1785436664.7,1,901775360,939524096
1785436665.8,1,901775360,939524096
1785436666.9,1,901775360,939524096
1785436667.9,1,901775360,939524096
1785436669.0,1,901775360,939524096
1785436670.1,1,901775360,939524096
1785436671.2,1,901775360,939524096
1785436672.2,1,901775360,939524096
1785436673.3,1,901775360,939524096
1785436674.4,0,901775360,939524096
1785436675.5,0,901775360,939524096
1785436676.5,0,901775360,943718400
1785436677.6,0,901775360,943718400
1785436678.7,0,901775360,943718400
1785436679.7,0,901775360,943718400
1785436680.8,0,901775360,943718400
1785436681.9,0,901775360,943718400
1785436683.0,0,901775360,943718400
1785436684.0,0,901775360,943718400
1785436685.1,0,901775360,943718400
1785436686.2,0,901775360,943718400
1785436687.3,0,901775360,943718400
1785436688.4,0,901775360,943718400
1785436689.4,0,901775360,943718400
1785436690.5,0,901775360,943718400
1785436691.6,0,901775360,943718400
1785436692.7,0,901775360,943718400
1785436693.7,0,901775360,943718400
1785436694.8,0,901775360,943718400
1785436695.9,0,901775360,943718400
1785436697.0,0,901775360,943718400
1785436698.1,0,901775360,943718400
1785436699.2,0,901775360,943718400
1785436700.2,0,901775360,943718400
1785436701.3,0,901775360,947912704
1785436702.4,0,901775360,947912704
1785436703.5,0,901775360,947912704
1785436704.5,0,901775360,947912704
1785436705.6,0,901775360,947912704
1785436706.7,0,901775360,947912704
1785436707.7,0,901775360,947912704
1785436708.8,0,901775360,947912704
1785436709.9,0,901775360,947912704
1785436711.0,0,901775360,947912704
1785436712.1,0,901775360,947912704
1785436713.1,0,901775360,947912704
1785436714.2,0,901775360,947912704
1785436715.3,0,901775360,947912704
1785436716.4,1,901775360,947912704
1785436717.5,1,901775360,947912704
1785436718.5,1,901775360,947912704
1785436719.6,1,901775360,947912704
1785436720.7,1,901775360,947912704
1785436721.7,1,901775360,947912704
1785436722.8,1,901775360,952107008
1785436723.9,1,901775360,952107008
1785436724.9,1,901775360,952107008
1785436726.0,1,901775360,952107008
1785436727.1,1,901775360,952107008
1785436728.2,0,901775360,952107008
1785436729.2,0,901775360,952107008
1785436730.3,0,901775360,952107008
1785436731.4,0,901775360,952107008
1785436732.5,0,901775360,952107008
1785436733.5,0,901775360,952107008
1785436734.6,0,901775360,952107008
1785436735.7,0,901775360,952107008
1785436736.7,0,901775360,952107008
1785436737.8,0,901775360,952107008
1785436738.9,0,901775360,952107008
1785436739.9,0,901775360,952107008
