ts,history_list_len,plain_ibd_bytes,part_ibd_bytes
1785436073.0,7,889192448,926941184
1785436074.1,7,893386752,926941184
1785436075.2,7,893386752,926941184
1785436076.3,8,893386752,926941184
1785436077.3,8,893386752,926941184
1785436078.4,0,893386752,926941184
1785436079.5,0,893386752,926941184
1785436080.6,0,893386752,926941184
1785436081.6,0,893386752,926941184
1785436082.7,0,897581056,926941184
1785436083.8,0,897581056,926941184
1785436084.9,0,897581056,926941184
1785436086.0,0,897581056,926941184
1785436087.0,0,897581056,926941184
1785436088.1,1,897581056,926941184
1785436089.2,1,897581056,926941184
1785436090.3,1,897581056,926941184
1785436091.4,1,901775360,926941184
1785436092.4,1,901775360,926941184
1785436093.5,1,901775360,926941184
1785436094.6,1,901775360,926941184
1785436095.7,1,901775360,926941184
1785436096.7,1,901775360,926941184
1785436097.8,1,901775360,926941184
1785436098.9,1,901775360,926941184
1785436099.9,0,901775360,926941184
1785436101.0,0,901775360,926941184
1785436102.1,1,901775360,926941184
1785436103.2,1,901775360,926941184
1785436104.3,1,901775360,926941184
1785436105.4,2,901775360,926941184
1785436106.4,2,901775360,926941184
1785436107.5,2,901775360,926941184
1785436108.6,2,901775360,926941184
1785436109.7,2,901775360,926941184
1785436110.8,2,901775360,926941184
1785436111.8,2,901775360,926941184
1785436112.9,2,901775360,926941184
1785436114.0,2,901775360,926941184
1785436115.1,2,901775360,926941184
1785436116.1,2,901775360,926941184
1785436117.2,2,901775360,926941184
1785436118.3,2,901775360,926941184
1785436119.4,2,901775360,926941184
1785436120.5,2,901775360,926941184
1785436121.6,2,901775360,926941184
1785436122.7,2,901775360,926941184
1785436123.7,2,901775360,926941184
1785436124.8,2,901775360,926941184
1785436125.9,2,901775360,926941184
1785436127.0,2,901775360,926941184
1785436128.1,2,901775360,926941184
1785436129.1,2,901775360,926941184
1785436130.2,2,901775360,926941184
1785436131.3,2,901775360,926941184
1785436132.4,2,901775360,926941184
1785436133.4,2,901775360,926941184
1785436134.5,2,901775360,926941184
1785436135.6,1,901775360,926941184
1785436136.7,1,901775360,926941184
1785436137.8,1,901775360,926941184
1785436138.8,1,901775360,926941184
1785436139.9,1,901775360,926941184
1785436141.0,1,901775360,926941184
1785436142.1,1,901775360,926941184
1785436143.1,1,901775360,926941184
1785436144.2,1,901775360,926941184
1785436145.3,1,901775360,926941184
1785436146.4,1,901775360,926941184
1785436147.5,0,901775360,926941184
1785436148.6,0,901775360,926941184
