ts,history_list_len,plain_ibd_bytes,part_ibd_bytes
1785245891.0,0,746586112,822214656
1785245892.1,0,750780416,822214656
1785245893.1,0,750780416,822214656
1785245894.2,0,750780416,822214656
1785245895.3,0,750780416,822214656
1785245896.4,0,750780416,822214656
1785245897.4,0,750780416,822214656
1785245898.5,0,750780416,822214656
1785245899.6,0,750780416,822214656
1785245900.7,0,750780416,822214656
1785245901.8,1,750780416,822214656
1785245902.8,1,754974720,822214656
1785245903.9,1,754974720,822214656
1785245905.0,1,754974720,822214656
1785245906.1,1,754974720,822214656
1785245907.2,1,754974720,822214656
1785245908.3,1,754974720,822214656
1785245909.4,1,754974720,822214656
1785245910.5,1,754974720,822214656
1785245911.6,1,754974720,822214656
1785245912.7,1,754974720,822214656
1785245913.8,0,754974720,822214656
1785245914.9,1,754974720,822214656
1785245915.9,1,754974720,822214656
1785245917.0,1,754974720,822214656
1785245918.1,1,754974720,822214656
1785245919.2,1,754974720,822214656
1785245920.3,1,754974720,822214656
1785245921.3,2,754974720,822214656
1785245922.4,2,754974720,822214656
1785245923.5,2,754974720,822214656
1785245924.6,2,754974720,822214656
1785245925.6,2,754974720,822214656
1785245926.7,3,754974720,822214656
1785245927.8,3,754974720,822214656
1785245928.8,3,754974720,822214656
1785245929.9,3,754974720,822214656
1785245931.0,3,754974720,822214656
1785245932.0,3,754974720,822214656
1785245933.1,3,754974720,822214656
1785245934.2,3,754974720,822214656
1785245935.2,3,754974720,822214656
1785245936.4,3,754974720,822214656
1785245937.5,3,754974720,822214656
1785245938.5,3,754974720,822214656
1785245939.6,3,754974720,822214656
1785245940.7,3,754974720,822214656
1785245941.8,3,754974720,822214656
1785245942.8,3,754974720,822214656
1785245943.9,3,754974720,822214656
1785245945.0,3,754974720,822214656
1785245946.1,0,754974720,822214656
1785245947.2,0,754974720,822214656
1785245948.3,0,754974720,822214656
1785245949.4,0,754974720,822214656
1785245950.4,0,754974720,822214656
1785245951.5,0,754974720,822214656
1785245952.6,0,754974720,822214656
1785245953.6,0,754974720,822214656
1785245954.7,0,754974720,822214656
1785245955.7,0,754974720,822214656
1785245956.8,0,754974720,822214656
1785245957.9,0,754974720,822214656
1785245958.9,0,754974720,822214656
1785245960.0,0,754974720,822214656
1785245961.1,0,754974720,822214656
1785245962.1,0,754974720,822214656
1785245963.2,0,754974720,822214656
1785245964.3,0,754974720,822214656
1785245965.3,0,754974720,822214656
1785245966.4,0,754974720,822214656
1785245967.4,0,754974720,822214656
1785245968.5,0,754974720,822214656
1785245969.6,0,754974720,822214656
1785245970.6,0,754974720,822214656
1785245971.7,0,754974720,822214656
1785245972.8,0,754974720,822214656
1785245973.9,0,754974720,822214656
1785245975.0,0,754974720,822214656
1785245976.0,0,754974720,822214656
1785245977.1,0,754974720,822214656
1785245978.2,0,754974720,822214656
1785245979.3,0,754974720,822214656
1785245980.3,0,754974720,822214656
1785245981.4,0,754974720,822214656
1785245982.5,0,754974720,822214656
1785245983.6,0,754974720,822214656
1785245984.7,0,754974720,822214656
1785245985.7,0,754974720,822214656
1785245986.8,0,754974720,822214656
1785245987.9,0,754974720,822214656
1785245989.0,0,754974720,822214656
