elapsed_s,next_xid,to_warn,to_stop
0,2107184392,300000,37300000
3,2107389224,95168,37095168
6,2107553815,-69423,36930577
0,2144084392,-36600000,400000
3,2144211558,-36727166,272834
6,2144336003,-36851611,148389
10,2144468242,-36983850,16150
