elapsed_s,next_xid,to_warn,to_stop
0,2107184392,300000,37300000
3,2107392774,91618,37091618
6,2107561897,-77505,36922495
0,2144084392,-36600000,400000
3,2144213101,-36728709,271291
6,2144356739,-36872347,127653
