elapsed_s,next_xid,to_warn,to_stop
0,2107184392,300000,37300000
3,2107385920,98472,37098472
6,2107552328,-67936,36932064
0,2144084392,-36600000,400000
4,2144212040,-36727648,272352
7,2144337230,-36852838,147162
10,2144464401,-36980009,19991
