ts,ms,status
1785473186.560,2.90,ok
1785473186.577,3.08,ok
1785473186.597,4.91,ok
1785473186.613,3.41,ok
1785473186.630,3.45,ok
1785473186.647,3.10,ok
1785473186.663,3.35,ok
1785473186.681,5.03,ok
1785473186.698,2.11,ok
1785473186.716,4.02,ok
1785473186.735,4.50,ok
1785473186.750,3.63,ok
1785473186.768,4.05,ok
1785473186.785,4.06,ok
1785473186.800,3.30,ok
1785473186.818,4.29,ok
1785473186.835,3.85,ok
1785473186.854,5.56,ok
1785473186.870,3.65,ok
1785473186.889,4.39,ok
1785473186.904,3.48,ok
1785473186.920,3.28,ok
1785473186.936,3.45,ok
1785473186.954,3.21,ok
1785473186.970,3.32,ok
1785473186.985,3.94,ok
1785473187.002,4.83,ok
1785473187.018,3.35,ok
1785473187.035,4.55,ok
1785473187.051,3.61,ok
1785473187.070,4.07,ok
1785473187.087,3.13,ok
1785473187.106,4.93,ok
1785473187.126,6.27,ok
1785473187.143,3.42,ok
1785473187.161,3.75,ok
1785473187.181,4.91,ok
1785473187.196,3.85,ok
1785473187.212,3.29,ok
1785473187.229,3.60,ok
1785473187.248,4.45,ok
1785473187.269,5.68,ok
1785473187.289,6.25,ok
1785473187.306,3.83,ok
1785473187.327,7.73,ok
1785473187.344,2.79,ok
1785473187.362,2.74,ok
1785473187.376,2.60,ok
1785473187.393,2.60,ok
1785473187.410,3.86,ok
1785473187.429,4.11,ok
1785473187.444,3.71,ok
1785473187.460,3.73,ok
1785473187.477,5.02,ok
1785473187.493,3.71,ok
1785473187.520,12.07,ok
1785473187.533,2.18,ok
1785473187.549,2.79,ok
1785473187.564,3.23,ok
1785473187.577,2.22,ok
1785473187.593,3.43,ok
1785473187.611,4.15,ok
1785473187.627,3.16,ok
1785473187.643,3.43,ok
1785473187.662,4.62,ok
1785473187.677,3.96,ok
1785473187.697,7.72,ok
1785473187.715,2.52,ok
1785473187.728,2.46,ok
1785473187.742,2.55,ok
1785473187.759,2.28,ok
1785473187.773,2.28,ok
1785473187.790,2.36,ok
1785473187.803,2.54,ok
