ts,ms,status
1785473235.567,2.99,ok
1785473235.585,2.98,ok
1785473235.603,3.49,ok
1785473235.616,2.43,ok
1785473235.636,4.36,ok
1785473235.654,3.45,ok
1785473235.671,4.27,ok
1785473235.688,2.44,ok
1785473235.705,1.92,ok
1785473235.719,2.13,ok
1785473235.736,2.37,ok
1785473235.751,3.70,ok
1785473235.765,2.53,ok
1785473235.782,2.13,ok
1785473235.797,2.30,ok
1785473235.810,2.39,ok
1785473235.823,2.33,ok
1785473235.841,2.24,ok
1785473235.857,2.22,ok
1785473235.876,3.72,ok
1785473235.893,3.75,ok
1785473235.912,3.54,ok
1785473235.931,3.68,ok
1785473235.949,3.46,ok
1785473235.967,3.43,ok
1785473235.983,2.01,ok
1785473235.995,2.00,ok
1785473236.011,1.94,ok
1785473236.025,2.14,ok
1785473236.044,4.84,ok
1785473236.061,2.30,ok
1785473236.079,2.14,ok
1785473236.096,2.56,ok
1785473236.113,1.95,ok
1785473236.128,2.00,ok
1785473236.143,2.18,ok
1785473236.160,1.92,ok
1785473236.177,2.24,ok
1785473236.192,2.07,ok
1785473236.209,2.36,ok
1785473236.226,3.01,ok
1785473236.243,2.63,ok
1785473236.262,3.43,ok
1785473236.275,1.88,ok
1785473236.294,4.02,ok
1785473236.313,4.41,ok
1785473236.328,2.61,ok
1785473236.345,2.40,ok
1785473236.363,3.40,ok
1785473236.377,2.86,ok
1785473236.392,2.45,ok
1785473236.409,1.96,ok
1785473236.426,2.86,ok
1785473236.443,2.07,ok
1785473236.460,2.58,ok
1785473236.475,2.22,ok
1785473236.489,2.38,ok
1785473236.507,2.88,ok
1785473236.521,1.57,ok
1785473236.539,2.91,ok
1785473236.554,4.54,ok
1785473236.567,2.19,ok
1785473236.579,1.65,ok
1785473236.591,1.99,ok
1785473236.613,6.87,ok
1785473236.625,1.93,ok
1785473236.642,2.29,ok
1785473236.658,2.35,ok
1785473236.671,1.94,ok
1785473236.686,1.98,ok
1785473236.700,2.49,ok
1785473236.719,6.00,ok
1785473236.732,2.53,ok
1785473236.746,2.53,ok
1785473236.764,2.52,ok
1785473236.778,3.53,ok
1785473236.791,2.52,ok
1785473236.809,2.37,ok
1785473236.828,4.24,ok
1785473236.842,1.77,ok
1785473236.857,1.75,ok
1785473236.873,1.91,ok
1785473236.889,2.63,ok
1785473236.907,3.50,ok
1785473236.924,1.91,ok
1785473236.942,3.44,ok
1785473236.958,1.67,ok
1785473236.972,1.95,ok
1785473236.984,2.48,ok
1785473237.000,2.41,ok
1785473237.017,2.96,ok
1785473237.034,2.03,ok
1785473237.047,2.34,ok
1785473237.062,2.30,ok
1785473237.077,3.04,ok
1785473237.090,1.92,ok
1785473237.106,1.91,ok
1785473237.124,3.02,ok
1785473237.142,2.49,ok
1785473237.158,1.82,ok
1785473237.176,2.66,ok
1785473237.190,2.04,ok
1785473237.209,4.47,ok
1785473237.224,2.01,ok
1785473237.237,2.10,ok
1785473237.251,1.93,ok
1785473237.264,1.97,ok
1785473237.281,3.40,ok
1785473237.295,1.86,ok
1785473237.311,2.70,ok
1785473237.328,2.18,ok
1785473237.343,3.69,ok
1785473237.356,1.90,ok
1785473237.373,1.94,ok
1785473237.388,2.49,ok
1785473237.404,2.40,ok
1785473237.420,3.23,ok
1785473237.437,2.25,ok
1785473237.457,4.85,ok
1785473237.469,1.87,ok
1785473237.486,2.22,ok
1785473237.503,2.02,ok
1785473237.519,2.38,ok
1785473237.533,3.62,ok
1785473237.546,2.38,ok
1785473237.563,1.83,ok
1785473237.576,1.83,ok
1785473237.594,3.31,ok
1785473237.622,14.16,ok
1785473237.638,2.86,ok
1785473237.652,2.28,ok
1785473237.667,2.27,ok
1785473237.682,3.25,ok
1785473237.697,1.69,ok
1785473237.711,1.80,ok
1785473237.730,3.86,ok
1785473237.742,1.85,ok
1785473237.759,2.17,ok
1785473237.775,1.74,ok
1785473237.794,4.13,ok
1785473237.807,2.97,ok
1785473237.820,2.76,ok
1785473237.837,1.65,ok
1785473237.852,1.72,ok
1785473237.865,2.06,ok
1785473237.882,1.92,ok
1785473237.899,2.09,ok
1785473237.913,3.51,ok
1785473237.926,2.44,ok
1785473237.945,3.70,ok
1785473237.962,2.50,ok
1785473237.979,1.96,ok
1785473237.993,2.44,ok
1785473238.010,1.86,ok
1785473238.023,2.06,ok
1785473238.035,1.79,ok
1785473238.051,4.26,ok
1785473238.069,2.08,ok
1785473238.086,2.04,ok
1785473238.099,2.06,ok
1785473238.117,2.69,ok
1785473238.134,2.09,ok
1785473238.149,3.32,ok
1785473238.165,1.80,ok
1785473238.179,1.96,ok
1785473238.192,1.69,ok
1785473238.205,2.72,ok
1785473238.217,1.81,ok
1785473238.238,5.67,ok
1785473238.255,1.67,ok
1785473238.268,2.38,ok
1785473238.283,2.10,ok
1785473238.296,1.73,ok
1785473238.313,2.48,ok
1785473238.332,3.28,ok
1785473238.346,1.67,ok
1785473238.361,2.03,ok
1785473238.378,1.99,ok
1785473238.395,3.50,ok
1785473238.407,1.58,ok
1785473238.424,2.40,ok
1785473238.438,1.86,ok
1785473238.453,1.71,ok
1785473238.469,4.93,ok
1785473238.486,1.75,ok
1785473238.502,1.72,ok
1785473238.516,1.57,ok
1785473238.531,3.35,ok
1785473238.545,1.70,ok
1785473238.558,1.85,ok
1785473238.573,1.93,ok
1785473238.591,3.35,ok
1785473238.617,10.92,ok
1785473238.632,1.87,ok
1785473238.650,2.08,ok
1785473238.667,1.92,ok
1785473238.683,2.15,ok
1785473238.700,3.48,ok
1785473238.717,2.52,ok
1785473238.734,2.29,ok
1785473238.749,1.95,ok
1785473238.767,2.64,ok
1785473238.783,1.92,ok
1785473238.800,1.86,ok
1785473238.816,1.85,ok
1785473238.835,3.96,ok
1785473238.850,3.28,ok
1785473238.866,2.05,ok
1785473238.883,1.88,ok
1785473238.900,1.56,ok
1785473238.912,1.88,ok
1785473238.926,1.84,ok
1785473238.940,2.18,ok
1785473238.958,3.48,ok
1785473238.975,1.85,ok
1785473238.992,3.20,ok
1785473239.008,1.98,ok
1785473239.025,1.95,ok
1785473239.040,2.39,ok
1785473239.055,2.57,ok
1785473239.073,1.81,ok
1785473239.085,1.80,ok
1785473239.102,1.73,ok
1785473239.118,1.78,ok
1785473239.133,1.85,ok
1785473239.150,2.71,ok
1785473239.166,2.97,ok
1785473239.180,1.87,ok
1785473239.194,2.01,ok
1785473239.209,2.58,ok
1785473239.226,2.99,ok
1785473239.243,2.38,ok
1785473239.258,2.07,ok
1785473239.272,2.45,ok
1785473239.285,2.04,ok
1785473239.300,2.14,ok
1785473239.313,2.04,ok
1785473239.330,3.56,ok
1785473239.343,2.39,ok
1785473239.357,2.11,ok
1785473239.370,1.80,ok
1785473239.385,3.15,ok
1785473239.402,2.52,ok
1785473239.419,1.98,ok
1785473239.434,2.56,ok
1785473239.452,2.26,ok
1785473239.467,2.17,ok
1785473239.485,2.73,ok
1785473239.499,2.18,ok
1785473239.517,3.13,ok
1785473239.534,3.14,ok
1785473239.550,2.16,ok
1785473239.568,3.31,ok
1785473239.587,4.38,ok
1785473239.601,2.18,ok
1785473239.625,8.33,ok
1785473239.643,3.76,ok
1785473239.662,2.94,ok
1785473239.679,2.25,ok
1785473239.696,2.11,ok
1785473239.712,3.59,ok
1785473239.728,1.81,ok
1785473239.745,1.95,ok
1785473239.759,2.82,ok
1785473239.774,2.68,ok
1785473239.792,2.88,ok
1785473239.809,2.86,ok
1785473239.823,1.92,ok
1785473239.836,1.95,ok
1785473239.854,2.00,ok
1785473239.867,2.21,ok
1785473239.882,1.87,ok
1785473239.899,2.63,ok
1785473239.912,1.89,ok
1785473239.932,5.17,ok
1785473239.950,2.57,ok
1785473239.967,2.26,ok
1785473239.981,1.97,ok
1785473239.999,3.69,ok
1785473240.015,1.86,ok
1785473240.029,2.48,ok
1785473240.047,3.23,ok
1785473240.061,1.93,ok
1785473240.078,2.05,ok
1785473240.092,2.10,ok
1785473240.110,2.67,ok
1785473240.128,2.21,ok
1785473240.142,1.94,ok
1785473240.154,1.83,ok
1785473240.172,1.99,ok
1785473240.185,2.54,ok
1785473240.198,1.99,ok
1785473240.215,2.08,ok
1785473240.232,2.18,ok
1785473240.251,3.61,ok
1785473240.268,2.69,ok
1785473240.283,2.36,ok
1785473240.300,2.06,ok
1785473240.316,2.34,ok
1785473240.331,4.19,ok
1785473240.344,2.36,ok
1785473240.360,4.38,ok
1785473240.376,3.63,ok
1785473240.395,3.95,ok
1785473240.409,3.42,ok
1785473240.422,2.11,ok
1785473240.441,3.68,ok
1785473240.456,3.42,ok
1785473240.470,2.55,ok
1785473240.485,2.49,ok
1785473240.501,3.33,ok
1785473240.520,4.09,ok
1785473240.539,3.89,ok
1785473240.559,4.77,ok
1785473240.574,2.45,ok
1785473240.591,3.54,ok
1785473240.614,8.85,ok
1785473240.633,6.05,ok
1785473240.652,3.85,ok
1785473240.672,4.66,ok
1785473240.685,2.60,ok
1785473240.700,3.85,ok
1785473240.719,3.58,ok
1785473240.737,3.95,ok
1785473240.757,4.04,ok
1785473240.775,3.61,ok
1785473240.791,1.96,ok
1785473240.808,1.72,ok
1785473240.823,2.00,ok
1785473240.835,1.69,ok
1785473240.852,5.07,ok
1785473240.868,3.35,ok
1785473240.881,1.74,ok
1785473240.899,2.78,ok
1785473240.916,2.10,ok
1785473240.933,1.99,ok
1785473240.948,1.74,ok
1785473240.963,1.72,ok
1785473240.980,1.82,ok
1785473240.997,2.05,ok
1785473241.011,1.59,ok
1785473241.027,2.03,ok
1785473241.041,1.85,ok
1785473241.058,1.76,ok
1785473241.072,1.80,ok
1785473241.087,1.65,ok
1785473241.101,2.08,ok
1785473241.117,2.21,ok
1785473241.134,2.62,ok
1785473241.150,1.87,ok
1785473241.173,7.72,ok
1785473241.190,2.48,ok
1785473241.207,1.57,ok
1785473241.224,1.83,ok
1785473241.241,1.78,ok
1785473241.257,5.99,ok
1785473241.270,1.71,ok
1785473241.283,1.76,ok
1785473241.300,1.73,ok
1785473241.317,2.02,ok
1785473241.333,1.50,ok
1785473241.351,3.47,ok
1785473241.367,2.01,ok
1785473241.384,2.27,ok
1785473241.400,1.59,ok
1785473241.417,1.85,ok
1785473241.430,1.72,ok
1785473241.444,4.08,ok
1785473241.459,2.68,ok
1785473241.473,1.92,ok
1785473241.490,1.93,ok
1785473241.502,1.90,ok
1785473241.517,2.05,ok
1785473241.530,2.06,ok
1785473241.544,1.85,ok
1785473241.559,1.95,ok
1785473241.574,2.00,ok
1785473241.589,3.72,ok
1785473241.606,1.67,ok
1785473241.627,8.82,ok
1785473241.641,2.28,ok
1785473241.656,3.57,ok
1785473241.673,2.13,ok
1785473241.689,3.46,ok
1785473241.706,1.81,ok
1785473241.721,1.97,ok
1785473241.739,2.62,ok
1785473241.755,1.75,ok
1785473241.772,1.96,ok
1785473241.785,1.73,ok
1785473241.803,2.56,ok
1785473241.816,1.91,ok
1785473241.833,1.80,ok
1785473241.850,1.84,ok
1785473241.866,2.06,ok
1785473241.883,1.93,ok
1785473241.900,1.81,ok
1785473241.917,2.98,ok
1785473241.934,3.41,ok
1785473241.991,42.25,ok
1785473242.029,23.02,ok
1785473242.042,2.33,ok
1785473242.055,2.44,ok
1785473242.067,2.38,ok
1785473242.081,3.09,ok
1785473242.100,4.02,ok
1785473242.116,2.12,ok
1785473242.132,2.17,ok
1785473242.147,2.39,ok
1785473242.163,2.73,ok
1785473242.179,2.14,ok
1785473242.195,1.97,ok
1785473242.212,2.04,ok
1785473242.226,2.70,ok
1785473242.247,5.85,ok
1785473242.265,2.57,ok
1785473242.281,3.10,ok
1785473242.298,1.96,ok
1785473242.311,2.36,ok
1785473242.325,1.61,ok
1785473242.344,5.04,ok
1785473242.357,2.04,ok
1785473242.372,3.76,ok
1785473242.389,2.00,ok
1785473242.404,1.78,ok
1785473242.420,2.19,ok
1785473242.435,2.50,ok
1785473242.452,1.92,ok
1785473242.468,2.54,ok
1785473242.483,1.93,ok
1785473242.500,2.86,ok
1785473242.517,2.25,ok
1785473242.533,2.03,ok
1785473242.550,2.40,ok
1785473242.567,1.87,ok
