1785407371579,20,ok
1785407371612,19,ok
1785407371645,17,ok
1785407371678,17,ok
1785407371707,16,ok
1785407371737,16,ok
1785407371767,17,ok
1785407371801,18,ok
1785407371833,17,ok
1785407371863,16,ok
1785407371892,16,ok
1785407371921,18,ok
1785407371951,16,ok
1785407371981,15,ok
1785407372012,17,ok
1785407372041,17,ok
1785407372071,16,ok
1785407372104,17,ok
1785407372134,18,ok
1785407372168,19,ok
1785407372201,17,ok
1785407372232,18,ok
1785407372264,17,ok
1785407372295,16,ok
1785407372326,18,ok
1785407372360,19,ok
1785407372395,17,ok
1785407372426,16,ok
1785407372456,16,ok
1785407372486,17,ok
1785407372516,16,ok
1785407372544,16,ok
1785407372575,16,ok
1785407372605,16,ok
1785407372633,16,ok
1785407372662,16,ok
1785407372694,16,ok
1785407372725,17,ok
1785407372756,17,ok
1785407372786,16,ok
1785407372817,16,ok
1785407372846,18,ok
1785407372878,18,ok
1785407372909,17,ok
1785407372938,20,ok
1785407372970,17,ok
1785407373000,19,ok
1785407373033,18,ok
1785407373068,17,ok
1785407373098,17,ok
1785407373131,16,ok
1785407373161,16,ok
1785407373190,16,ok
1785407373222,17,ok
1785407373252,17,ok
1785407373283,19,ok
1785407373318,19,ok
1785407373350,18,ok
1785407373382,17,ok
1785407373413,17,ok
1785407373443,16,ok
1785407373472,18,ok
1785407373502,17,ok
1785407373533,18,ok
1785407373565,16,ok
1785407373596,16,ok
1785407373628,16,ok
1785407373657,16,ok
1785407373686,16,ok
1785407373715,16,ok
1785407373746,17,ok
1785407373775,17,ok
1785407373805,18,ok
1785407373836,16,ok
1785407373868,16,ok
1785407373897,16,ok
1785407373926,16,ok
1785407373957,17,ok
1785407373986,16,ok
1785407374015,16,ok
1785407374045,18,ok
1785407374078,18,ok
1785407374109,16,ok
1785407374137,17,ok
1785407374169,16,ok
1785407374200,16,ok
1785407374231,16,ok
1785407374260,16,ok
1785407374289,16,ok
1785407374318,17,ok
1785407374350,17,ok
1785407374380,17,ok
1785407374410,16,ok
1785407374438,17,ok
1785407374468,17,ok
1785407374499,16,ok
1785407374529,16,ok
1785407374558,16,ok
1785407374589,16,ok
1785407374618,16,ok
1785407374646,16,ok
1785407374678,16,ok
1785407374706,17,ok
1785407374737,16,ok
1785407374768,16,ok
1785407374796,16,ok
1785407374825,18,ok
1785407374856,17,ok
1785407374889,17,ok
1785407374919,17,ok
1785407374948,18,ok
1785407374980,17,ok
1785407375010,16,ok
1785407375042,16,ok
1785407375074,16,ok
1785407375103,16,ok
1785407375133,17,ok
1785407375162,18,ok
1785407375197,18,ok
1785407375227,17,ok
1785407375262,17,ok
1785407375293,16,ok
1785407375325,16,ok
1785407375359,17,ok
1785407375390,19,ok
1785407375423,18,ok
1785407375455,16,ok
1785407375483,16,ok
1785407375513,17,ok
1785407375544,17,ok
1785407375575,16,ok
1785407375603,16,ok
1785407375633,16,ok
1785407375661,16,ok
1785407375691,16,ok
1785407375720,16,ok
1785407375748,17,ok
1785407375778,16,ok
1785407375809,16,ok
1785407375837,18,ok
1785407375867,17,ok
1785407375901,17,ok
1785407375930,16,ok
1785407375961,16,ok
1785407375990,16,ok
1785407376022,16,ok
1785407376051,16,ok
1785407376082,16,ok
1785407376112,16,ok
1785407376143,16,ok
1785407376175,17,ok
1785407376207,18,ok
1785407376240,19,ok
1785407376272,18,ok
1785407376304,18,ok
1785407376335,16,ok
1785407376365,17,ok
1785407376395,18,ok
1785407376431,18,ok
1785407376462,18,ok
1785407376492,19,ok
1785407376524,19,ok
1785407376556,17,ok
1785407376587,18,ok
1785407376622,19,ok
1785407376654,18,ok
1785407376689,17,ok
1785407376719,18,ok
1785407376753,19,ok
1785407376784,18,ok
1785407376814,18,ok
1785407376845,18,ok
1785407376878,18,ok
1785407376911,16,ok
1785407376940,19,ok
1785407376976,18,ok
1785407377007,17,ok
1785407377037,17,ok
1785407377072,18,ok
1785407377105,17,ok
1785407377137,16,ok
1785407377168,16,ok
1785407377201,17,ok
1785407377232,16,ok
1785407377263,16,ok
1785407377293,16,ok
1785407377322,16,ok
1785407377353,16,ok
1785407377384,17,ok
1785407377414,16,ok
1785407377442,16,ok
1785407377473,16,ok
1785407377502,16,ok
1785407377535,17,ok
1785407377568,16,ok
1785407377597,16,ok
1785407377626,16,ok
1785407377656,19,ok
1785407377690,18,ok
1785407377723,1791,ok
1785407379528,20,ok
1785407379561,21,ok
1785407379595,20,ok
1785407379629,20,ok
1785407379664,21,ok
1785407379698,18,ok
1785407379731,17,ok
1785407379762,21,ok
1785407379798,20,ok
1785407379831,19,ok
1785407379868,18,ok
1785407379901,19,ok
1785407379937,17,ok
1785407379967,20,ok
1785407380000,17,ok
1785407380031,18,ok
1785407380063,16,ok
1785407380093,18,ok
1785407380123,17,ok
1785407380156,18,ok
1785407380188,18,ok
1785407380219,16,ok
1785407380248,17,ok
1785407380278,17,ok
1785407380308,21,ok
1785407380344,18,ok
1785407380374,16,ok
1785407380404,17,ok
1785407380434,17,ok
1785407380466,17,ok
1785407380496,17,ok
1785407380527,17,ok
1785407380555,16,ok
1785407380588,16,ok
1785407380616,16,ok
1785407380646,17,ok
1785407380676,16,ok
1785407380709,16,ok
1785407380738,17,ok
1785407380767,16,ok
1785407380797,18,ok
1785407380827,16,ok
1785407380856,18,ok
1785407380888,17,ok
1785407380918,18,ok
1785407380950,18,ok
1785407380980,16,ok
1785407381012,16,ok
1785407381042,16,ok
1785407381075,17,ok
1785407381108,19,ok
1785407381140,17,ok
1785407381169,17,ok
1785407381201,17,ok
1785407381230,18,ok
1785407381261,17,ok
1785407381293,17,ok
1785407381322,17,ok
1785407381355,17,ok
1785407381386,16,ok
1785407381415,16,ok
1785407381443,17,ok
1785407381474,17,ok
1785407381504,17,ok
1785407381534,17,ok
1785407381564,18,ok
1785407381600,18,ok
