tbl,run,null_frac
req_log,1,0.9994999766349792
req_log,2,0.999833345413208
req_log,3,0.9997666478157043
req_log,4,0.9998000264167786
req_log,5,0.9997333288192749
req_log,6,0.9997333288192749
req_log,7,0.9997000098228455
req_log,8,0.999666690826416
req_log,9,0.9998666644096375
req_log,10,0.9998999834060669
req_log,11,0.999666690826416
req_log,12,0.9998666644096375
req_log,13,0.9996333122253418
req_log,14,0.999666690826416
req_log,15,0.9995999932289124
req_log,16,0.9998000264167786
req_log,17,0.9998999834060669
req_log,18,0.9998999834060669
req_log,19,0.999833345413208
req_log,20,0.999833345413208
req_log,21,0.999833345413208
req_log,22,0.9998000264167786
req_log,23,0.9998999834060669
req_log,24,0.999833345413208
req_log,25,0.999666690826416
req_log,26,0.9997333288192749
req_log,27,0.999666690826416
req_log,28,0.9998666644096375
req_log,29,0.9997000098228455
req_log,30,0.9998666644096375
req_log,31,0.9998999834060669
req_log,32,0.9996333122253418
req_log,33,0.9999333620071411
req_log,34,0.999833345413208
req_log,35,0.9997000098228455
req_log,36,0.9998000264167786
req_log,37,0.9998666644096375
req_log,38,0.9998999834060669
req_log,39,0.9998999834060669
req_log,40,0.9996333122253418
req_log,41,0.9997666478157043
req_log,42,0.9997000098228455
req_log,43,0.999833345413208
req_log,44,0.9998666644096375
req_log,45,0.9997666478157043
req_log,46,0.9994999766349792
req_log,47,0.9998999834060669
req_log,48,0.999833345413208
req_log,49,0.9998666644096375
req_log,50,0.9997000098228455
req_log,51,0.9999333620071411
req_log,52,0.999833345413208
req_log,53,0.999833345413208
req_log,54,0.999833345413208
req_log,55,0.9997000098228455
req_log,56,0.9998000264167786
req_log,57,0.9997333288192749
req_log,58,0.9998999834060669
req_log,59,0.9996333122253418
req_log,60,0.9998000264167786
req_log,61,0.9997333288192749
req_log,62,0.9998000264167786
req_log,63,0.999833345413208
req_log,64,0.999833345413208
req_log,65,0.9998000264167786
req_log,66,0.9998999834060669
req_log,67,0.9998666644096375
req_log,68,0.9998000264167786
req_log,69,0.9998666644096375
req_log,70,0.9999333620071411
req_log,71,0.999666690826416
req_log,72,0.9998000264167786
req_log,73,0.999666690826416
req_log,74,0.9997000098228455
req_log,75,0.9999333620071411
req_log,76,0.9998666644096375
req_log,77,0.9999333620071411
req_log,78,0.9997666478157043
req_log,79,1
req_log,80,0.9998999834060669
req_log,81,0.999833345413208
req_log,82,0.9998000264167786
req_log,83,0.9998999834060669
req_log,84,0.9998666644096375
req_log,85,0.9998666644096375
req_log,86,0.9999333620071411
req_log,87,0.9998000264167786
req_log,88,0.9998999834060669
req_log,89,0.999833345413208
req_log,90,0.9997666478157043
req_log,91,0.9998999834060669
req_log,92,0.9998999834060669
req_log,93,0.9998666644096375
req_log,94,0.9997333288192749
req_log,95,0.9997333288192749
req_log,96,0.999833345413208
req_log,97,1
req_log,98,0.9999666810035706
req_log,99,0.9997666478157043
req_log,100,0.999833345413208
req_log,101,0.9998999834060669
req_log,102,0.9999666810035706
req_log,103,1
req_log,104,0.9998666644096375
req_log,105,0.9998666644096375
req_log,106,0.999833345413208
req_log,107,0.9998000264167786
req_log,108,0.9997666478157043
req_log,109,0.9998666644096375
req_log,110,0.9999333620071411
req_log,111,0.9998666644096375
req_log,112,0.9997333288192749
req_log,113,0.9997333288192749
req_log,114,0.9999333620071411
req_log,115,0.9998666644096375
req_log,116,0.9999666810035706
req_log,117,0.999833345413208
req_log,118,0.9998666644096375
req_log,119,0.9998666644096375
req_log,120,0.9999333620071411
req_log,121,0.9999333620071411
req_log,122,0.9997333288192749
req_log,123,0.9996333122253418
req_log,124,0.9999333620071411
req_log,125,0.9998000264167786
req_log,126,0.9998666644096375
req_log,127,0.9998000264167786
req_log,128,0.9998000264167786
req_log,129,0.9997666478157043
req_log,130,0.9998666644096375
req_log,131,0.9995999932289124
req_log,132,0.999833345413208
req_log,133,0.9997000098228455
req_log,134,0.9999333620071411
req_log,135,0.999666690826416
req_log,136,0.9999666810035706
req_log,137,0.9997666478157043
req_log,138,0.9998666644096375
req_log,139,0.9998000264167786
req_log,140,0.999833345413208
req_log,141,1
req_log,142,0.9998000264167786
req_log,143,0.9997666478157043
req_log,144,0.9997666478157043
req_log,145,0.9999666810035706
req_log,146,0.999833345413208
req_log,147,0.9997666478157043
req_log,148,0.9997333288192749
req_log,149,0.9997333288192749
req_log,150,0.9997000098228455
req_log,151,0.9998666644096375
req_log,152,0.9998000264167786
req_log,153,0.9998666644096375
req_log,154,0.9998000264167786
req_log,155,0.9998666644096375
req_log,156,0.9997333288192749
req_log,157,0.9999666810035706
req_log,158,0.9997000098228455
req_log,159,0.9998666644096375
req_log,160,0.9998000264167786
req_log,161,0.9997000098228455
req_log,162,0.9999333620071411
req_log,163,0.9996333122253418
req_log,164,0.999666690826416
req_log,165,0.9999333620071411
req_log,166,0.9998666644096375
req_log,167,0.9998666644096375
req_log,168,0.9998999834060669
req_log,169,0.9999333620071411
req_log,170,0.9998000264167786
req_log,171,0.9997666478157043
req_log,172,0.9998000264167786
req_log,173,0.9998999834060669
req_log,174,0.999833345413208
req_log,175,0.9997666478157043
req_log,176,0.9998666644096375
req_log,177,0.999666690826416
req_log,178,0.9995666742324829
req_log,179,0.9997333288192749
req_log,180,0.999833345413208
req_log,181,0.9997000098228455
req_log,182,0.9999333620071411
req_log,183,0.9998666644096375
req_log,184,0.999666690826416
req_log,185,0.9998000264167786
req_log,186,0.9997666478157043
req_log,187,0.9998666644096375
req_log,188,0.9998000264167786
req_log,189,0.9998999834060669
req_log,190,1
req_log,191,0.9997666478157043
req_log,192,0.9997333288192749
req_log,193,0.999666690826416
req_log,194,0.9998666644096375
req_log,195,0.9997333288192749
req_log,196,0.9998000264167786
req_log,197,0.999666690826416
req_log,198,0.999833345413208
req_log,199,0.9998666644096375
req_log,200,0.9998999834060669
req_log,201,0.9997000098228455
req_log,202,0.999833345413208
req_log,203,0.9998000264167786
req_log,204,0.9998000264167786
req_log,205,0.9999333620071411
req_log,206,0.9998000264167786
req_log,207,0.9998999834060669
req_log,208,0.999666690826416
req_log,209,0.999666690826416
req_log,210,0.9998666644096375
req_log,211,0.999833345413208
req_log,212,0.9999333620071411
req_log,213,0.9998999834060669
req_log,214,0.9999666810035706
req_log,215,0.9997666478157043
req_log,216,0.999666690826416
req_log,217,0.999666690826416
req_log,218,0.9998000264167786
req_log,219,0.9999333620071411
req_log,220,0.9998000264167786
req_log,221,0.999666690826416
req_log,222,0.9998666644096375
req_log,223,0.9998000264167786
req_log,224,0.9997333288192749
req_log,225,0.9997666478157043
req_log,226,0.9999333620071411
req_log,227,0.9998666644096375
req_log,228,0.9999333620071411
req_log,229,0.9996333122253418
req_log,230,0.9997000098228455
req_log,231,0.999833345413208
req_log,232,0.9995333552360535
req_log,233,0.9997666478157043
req_log,234,0.9994999766349792
req_log,235,0.9997666478157043
req_log,236,0.9995666742324829
req_log,237,0.9998666644096375
req_log,238,0.9998000264167786
req_log,239,0.9999333620071411
req_log,240,0.9999333620071411
req_log,241,0.9999666810035706
req_log,242,0.9994333386421204
req_log,243,0.9998000264167786
req_log,244,0.9998000264167786
req_log,245,0.9999666810035706
req_log,246,0.9999666810035706
req_log,247,0.9998666644096375
req_log,248,0.9998000264167786
req_log,249,0.9998666644096375
req_log,250,0.999666690826416
req_log,251,0.9998000264167786
req_log,252,0.9996333122253418
req_log,253,0.9997666478157043
req_log,254,0.9997666478157043
req_log,255,0.9997333288192749
req_log,256,0.9998000264167786
req_log,257,0.9997333288192749
req_log,258,0.9998666644096375
req_log,259,0.999833345413208
req_log,260,0.999666690826416
req_log,261,0.9997000098228455
req_log,262,0.999833345413208
req_log,263,0.999833345413208
req_log,264,0.9998666644096375
req_log,265,0.9998000264167786
req_log,266,0.9997666478157043
req_log,267,0.999833345413208
req_log,268,0.9998666644096375
req_log,269,0.9997000098228455
req_log,270,0.9993333220481873
req_log,271,0.9998999834060669
req_log,272,0.9997666478157043
req_log,273,0.9997666478157043
req_log,274,0.9997333288192749
req_log,275,0.9997666478157043
req_log,276,0.9998000264167786
req_log,277,0.9998000264167786
req_log,278,0.9995666742324829
req_log,279,0.9995666742324829
req_log,280,0.999833345413208
req_log,281,0.9999333620071411
req_log,282,0.9998666644096375
req_log,283,0.9998000264167786
req_log,284,0.9997666478157043
req_log,285,0.9997666478157043
req_log,286,0.9998000264167786
req_log,287,0.9997666478157043
req_log,288,0.9998999834060669
req_log,289,0.999833345413208
req_log,290,0.9997000098228455
req_log,291,0.9998666644096375
req_log,292,0.9997666478157043
req_log,293,0.9998000264167786
req_log,294,0.9999333620071411
req_log,295,0.9998666644096375
req_log,296,0.9997000098228455
req_log,297,0.9997333288192749
req_log,298,0.9998000264167786
req_log,299,0.9998999834060669
req_log,300,0.9999333620071411
req_log_spread,1,0.9997666478157043
req_log_spread,2,0.9997333288192749
req_log_spread,3,0.9997000098228455
req_log_spread,4,0.9998000264167786
req_log_spread,5,0.9998666644096375
req_log_spread,6,0.9998999834060669
req_log_spread,7,0.9999666810035706
req_log_spread,8,0.9998000264167786
req_log_spread,9,0.999833345413208
req_log_spread,10,0.999833345413208
req_log_spread,11,0.999833345413208
req_log_spread,12,0.9998666644096375
req_log_spread,13,0.9997666478157043
req_log_spread,14,0.9998000264167786
req_log_spread,15,0.9997000098228455
req_log_spread,16,0.9998666644096375
req_log_spread,17,0.9998999834060669
req_log_spread,18,0.9998999834060669
req_log_spread,19,0.9999333620071411
req_log_spread,20,0.9998666644096375
req_log_spread,21,0.9997666478157043
req_log_spread,22,0.9995999932289124
req_log_spread,23,0.999666690826416
req_log_spread,24,0.9998999834060669
req_log_spread,25,0.9997666478157043
req_log_spread,26,0.9997000098228455
req_log_spread,27,0.9998999834060669
