label,ko,n,rps,rps_min,rps_max,p95,p99,fail,lost,lost_amt,ledger,match,retries,lock_waits,lock_ms,lock_avg
jpa-naive,JPA 조회 후 증가,2,717.3540935877065,707.9015774194246,726.8066097559885,156.31275,178.44643499999998,0.0,43010,97264700,43704,False,0,43136.5,3684532.5,85.4156572740023
jvm-lock,JVM 락 + 조회 후 증가,2,348.9754597350666,337.74716554004397,360.20375393008914,543.2798,608.034575,0.0,0,0,20365,True,0,0.0,0.0,0
jpa-pessimistic,비관적 락,2,587.5031156086338,586.525914190888,588.4803170263797,188.577,210.32943999999998,0.0,0,0,35279,True,0,35340.0,3725877.5,105.42947085455575
atomic,원자적 UPDATE,2,739.573271648112,734.0363682940604,745.1101750021636,152.41812499999997,172.516585,0.0,0,0,44127,True,0,44477.5,3707214.0,83.35032319712214
slot16,슬롯 16,2,2747.312797581496,2727.1187539664234,2767.506841196568,68.29587499999997,90.47900499999999,0.0,0,0,166167,True,0,138840.5,2298216.5,16.552925839362434
slot64,슬롯 64,2,3980.702263971996,3950.853476790048,4010.551051153944,38.26632499999998,48.62765999999999,0.0,0,0,240714,True,0,101003.0,643392.5,6.370033563359504
redis-pipe,Redis 파이프라인,2,4569.741603633293,4559.66386649832,4579.819340768267,30.211149999999996,36.068335,0.0,0,0,274875,True,0,0.0,0.0,0
