run,phase,seconds,bytes,rows
1,backup,0.198,17003478,
1,restore,1.564,17003478,200000
2,backup,0.207,17003478,
3,backup,0.207,17003478,
4,backup,0.193,17003478,
5,backup,0.204,17003478,
