12:26:41	2044
12:26:42	2869
12:26:43	3457
12:26:44	3695
12:26:45	3791
12:26:46	3270
12:26:47	3160
12:26:48	3357
12:26:49	3733
12:26:50	4027
12:26:51	3762
12:26:52	3856
12:26:53	4446
12:26:54	4281
12:26:55	4449
12:26:56	4451
12:26:57	4258
12:26:58	4333
12:26:59	4350
12:27:00	4467
12:27:01	4329
12:27:02	4273
12:27:03	4209
12:27:04	4291
12:27:05	4434
12:27:06	4406
12:27:07	4421
12:27:08	4218
12:27:09	4370
12:27:10	4116
12:27:11	4413
12:27:12	4128
12:27:13	4091
12:27:14	4139
12:27:15	3887
12:27:16	3569
12:27:17	2660
12:27:18	3487
12:27:19	4175
12:27:20	3447
12:27:21	3785
12:27:22	3707
12:27:23	3768
12:27:24	4320
12:27:25	3390
12:27:26	3962
12:27:27	3353
12:27:28	3893
12:27:29	3864
12:27:30	3628
12:27:31	4013
12:27:32	3758
12:27:33	4104
12:27:34	3831
12:27:35	3911
12:27:36	3673
12:27:37	3864
12:27:38	3995
12:27:39	4097
12:27:40	3894
