100	22360
200	22162
300	22111
400	22185
500	22122
600	22215
700	22302
800	22353
900	22292
1000	22075
10000	249
11000	246
12000	254
13000	225
14000	201
15000	253
16000	196
17000	232
18000	247
19000	240
20000	240
21000	241
22000	238
23000	227
24000	227
25000	255
26000	236
27000	231
28000	220
29000	236
30000	258
31000	223
32000	267
33000	234
34000	220
35000	209
36000	213
37000	236
38000	246
39000	228
40000	238
41000	210
42000	248
43000	229
44000	220
45000	252
46000	226
47000	223
48000	222
49000	235
50000	227
51000	252
52000	226
53000	262
54000	246
55000	283
56000	233
57000	230
58000	239
59000	223
