design,sessions,run,wall_ms,errors
none,2,1,90,0
0
none,2,2,2104,0
0
none,2,3,3111,0
0
none,4,1,89,0
0
none,4,2,2111,0
0
none,4,3,1097,0
0
none,8,1,1108,0
0
none,8,2,100,0
0
none,8,3,101,0
0
none,16,1,175,0
0
none,16,2,156,0
0
none,16,3,150,0
0
A,2,1,103,0
0
A,2,2,96,0
0
A,2,3,105,0
0
A,4,1,104,0
0
A,4,2,109,0
0
A,4,3,124,0
0
A,8,1,110,0
0
A,8,2,107,0
0
A,8,3,115,0
0
A,16,1,1182,0
0
A,16,2,178,0
0
A,16,3,1176,0
0
B,2,1,89,0
0
B,2,2,2107,0
0
B,2,3,1093,0
0
B,4,1,1104,0
0
B,4,2,7146,0
0
B,4,3,2097,0
0
B,8,1,1098,0
0
B,8,2,90,0
0
B,8,3,1098,0
0
B,16,1,184,0
0
B,16,2,204,0
0
B,16,3,187,0
0
C,2,1,2110,0
0
C,2,2,1109,0
0
C,2,3,2101,0
0
C,4,1,5119,0
0
C,4,2,4122,0
0
C,4,3,77,0
0
C,8,1,100,0
0
C,8,2,94,0
0
C,8,3,3106,0
0
C,16,1,185,0
0
C,16,2,146,0
0
C,16,3,156,0
0
D,2,1,90,0
0
D,2,2,2108,0
0
D,2,3,97,0
0
D,4,1,111,0
0
D,4,2,1109,0
0
D,4,3,111,0
0
D,8,1,1124,0
0
D,8,2,107,0
0
D,8,3,1143,0
0
D,16,1,2188,0
0
D,16,2,158,0
0
D,16,3,2189,0
0
