ts,hit_rate,young_per_1k,not_young_per_1k,pages_made_young_rate,old_pages,total_pages,reads_from_disk_rate
1785527828.7,1000,0,0,0.0,8719,23676,0.0
1785527829.7,1000,0,0,0.0,8719,23676,0.0
1785527830.7,1000,0,0,0.0,8719,23676,0.0
1785527831.7,1000,0,0,0.0,8719,23676,0.0
1785527832.7,1000,0,0,0.0,8719,23676,0.0
1785527833.8,1000,0,0,0.0,8719,23676,0.0
1785527834.8,1000,0,0,0.0,8719,23676,0.0
1785527835.8,1000,0,0,0.0,8719,23676,0.0
1785527836.8,1000,0,0,0.0,8719,23676,0.0
1785527837.8,1000,0,0,0.0,8719,23676,0.0
1785527838.8,1000,0,0,0.0,8719,23676,0.0
1785527839.8,1000,0,0,0.0,8719,23676,0.0
1785527840.8,1000,0,0,0.0,8719,23676,0.0
1785527841.8,1000,0,0,0.0,8719,23676,0.0
1785527842.8,1000,0,0,0.0,8719,23676,0.0
1785527843.8,1000,0,0,0.0,8719,23676,0.0
1785527844.8,1000,0,0,0.0,8719,23676,0.0
1785527845.8,1000,0,0,0.0,8719,23676,0.0
1785527846.8,1000,0,0,0.0,8719,23676,0.0
1785527847.8,1000,0,0,0.0,8719,23676,0.0
1785527848.8,1000,0,0,0.0,8719,23676,0.0
1785527849.8,1000,0,0,0.0,8719,23676,0.0
1785527850.8,1000,0,0,0.0,8719,23676,0.0
1785527851.9,1000,0,0,0.0,8719,23676,0.0
1785527852.9,1000,0,0,0.0,8719,23676,0.0
1785527853.9,1000,0,0,0.0,8719,23676,0.0
1785527854.9,1000,0,0,0.0,8719,23676,0.0
1785527855.9,1000,0,0,0.0,8719,23676,0.0
1785527856.9,1000,0,0,0.0,8719,23676,0.0
1785527857.9,1000,0,0,0.0,8719,23676,0.0
1785527858.9,1000,0,0,0.0,8719,23676,0.0
1785527859.9,1000,0,0,0.0,8719,23676,0.0
1785527860.9,1000,0,0,0.0,8719,23676,0.0
1785527861.9,1000,0,0,0.0,8719,23676,0.0
1785527862.9,1000,0,0,0.0,8719,23676,0.0
1785527863.9,1000,0,0,0.0,8719,23676,0.0
1785527864.9,1000,0,0,0.0,8719,23676,0.0
1785527865.9,1000,0,0,0.0,8719,23676,0.0
1785527866.9,1000,0,0,0.0,8719,23676,0.0
1785527867.9,1000,0,0,0.0,8719,23676,0.0
1785527868.9,1000,0,0,0.0,8719,23676,0.0
1785527869.9,1000,0,0,0.0,8719,23676,0.0
1785527870.9,1000,0,0,0.0,8719,23676,0.0
1785527871.9,1000,0,0,0.0,8719,23676,0.0
1785527872.9,1000,0,0,0.0,8719,23676,0.0
1785527874.0,1000,0,0,0.0,8719,23676,0.0
1785527875.0,1000,0,0,0.0,8719,23676,0.0
1785527876.0,1000,0,0,0.0,8719,23676,0.0
1785527877.0,1000,0,0,0.0,8719,23676,0.0
1785527878.0,1000,0,0,0.0,8719,23676,0.0
1785527879.0,1000,0,0,0.0,8719,23676,0.0
1785527880.0,1000,0,0,0.0,8719,23676,0.0
1785527881.0,1000,0,0,0.0,8719,23676,0.0
1785527882.0,1000,0,0,0.0,8719,23676,0.0
1785527883.0,1000,0,0,0.0,8719,23676,0.0
1785527884.0,1000,0,0,0.0,8719,23676,0.0
1785527885.0,1000,0,0,0.0,8719,23676,0.0
1785527886.0,1000,0,0,0.0,8719,23676,0.0
1785527887.0,1000,0,0,0.0,8719,23676,0.0
1785527888.0,1000,0,0,0.0,8719,23676,0.0
1785527889.0,869,0,444,0.0,8939,24165,487.31462237850405
1785527890.0,814,0,537,0.9948537043602023,9089,24573,1337.0833786601117
1785527891.0,816,0,204,0.0,9089,24573,1274.600736472471
1785527892.0,819,0,200,0.0,9089,24573,1275.5607284990806
