ts,hit_rate,young_per_1k,not_young_per_1k,pages_made_young_rate,old_pages,total_pages,reads_from_disk_rate
1785484021.4,480,526,0,17950.18371450293,9050,24573,17771.850947717936
1785484022.4,544,461,0,16223.541181401424,9050,24573,16039.998905369828
1785484023.4,75,935,0,18223.41718109197,9050,24573,18021.729595890698
1785484024.4,579,424,0,16919.934446776075,9050,24573,16761.524885624487
1785484025.4,418,590,0,17492.786192757765,9050,24573,17259.79914261437
1785484026.4,76,934,0,18349.429491359908,9051,24573,18148.421641183406
1785484027.4,670,334,0,17023.603930893747,9050,24573,16847.219344125137
1785484028.4,81,931,0,16680.560210254233,9050,24573,16481.32987032883
1785484029.4,81,931,0,16860.295718946676,9050,24573,16651.468700310357
1785484030.4,691,313,0,15440.364271026972,9051,24573,15232.10120986888
1785484031.4,83,929,0,17151.23002386641,9050,24573,16932.070437106195
1785484032.4,81,933,0,16293.502100874422,9051,24573,16046.540328412813
1785484033.5,671,334,0,16868.772066702186,9050,24573,16658.2089835911
1785484034.5,80,932,0,17444.608426156192,9050,24572,17224.29535328457
1785484035.5,426,580,0,17844.92774494098,9050,24573,17661.974231536555
1785484036.5,586,419,0,16068.942112740708,9050,24573,15879.684797998534
1785484037.5,82,930,0,17212.731026862715,9050,24573,16993.536721125867
1785484038.5,510,495,0,17317.152826561873,9051,24573,17132.758140656846
1785484039.5,520,487,0,16694.563073614427,9051,24573,16461.740631321933
1785484040.5,77,933,0,18111.88268926214,9050,24573,17903.78024384951
1785484041.5,597,408,0,15296.084465367074,9050,24573,15113.715356163726
1785484042.5,434,574,0,17455.985743514502,9050,24573,17230.420264845532
1785484043.5,76,932,0,17798.55288880678,9050,24573,17642.18059985643
1785484044.5,671,333,0,16953.0220175412,9050,24573,16738.679192856027
1785484045.5,78,933,0,17938.376109747962,9050,24573,17710.9560727036
1785484046.5,82,928,0,16736.822935935146,9050,24573,16571.614360840584
1785484047.5,683,322,0,16095.609321062928,9051,24573,15849.71524001997
1785484048.5,75,935,0,18154.078177611555,9050,24573,17956.94603550521
1785484049.5,405,600,0,18355.80700254065,9050,24573,18198.417437966848
1785484050.5,584,422,0,16767.707893750445,9051,24573,16541.090383390332
1785484051.5,80,931,0,17329.22763438967,9050,24573,17127.782967177453
