ts,history_list_len,plain_ibd_bytes,part_ibd_bytes
1785434700.4,193,131072,1966080
1785434701.4,193,409600,1966080
1785434702.5,193,688128,1966080
1785434703.6,0,868352,1966080
1785434704.6,0,10485760,1966080
1785434705.7,0,10485760,1966080
1785434706.8,0,11534336,1966080
1785434707.8,0,11534336,1966080
1785434708.9,0,11534336,1966080
1785434710.0,0,11534336,1966080
1785434711.1,1,11534336,1966080
1785434712.1,1,12582912,1966080
1785434713.2,1,12582912,1966080
1785434714.3,1,13631488,1966080
1785434715.3,1,13631488,1966080
1785434716.4,1,13631488,1966080
1785434717.5,1,13631488,1966080
1785434718.6,1,14680064,1966080
1785434719.6,1,14680064,1966080
1785434720.7,1,14680064,1966080
1785434721.8,0,14680064,1966080
1785434722.9,0,14680064,1966080
1785434723.9,0,14680064,1966080
1785434725.0,0,15728640,1966080
1785434726.1,0,15728640,1966080
1785434727.2,0,16777216,1966080
1785434728.2,0,16777216,1966080
1785434729.3,0,17825792,1966080
1785434730.4,0,17825792,1966080
1785434731.5,0,17825792,1966080
1785434732.5,0,17825792,1966080
1785434733.6,0,17825792,1966080
1785434734.7,1,18874368,1966080
1785434735.8,1,19922944,1966080
1785434736.8,1,19922944,1966080
1785434737.9,1,19922944,1966080
1785434739.0,1,19922944,1966080
1785434740.1,1,19922944,1966080
1785434741.2,1,19922944,1966080
