ts,history_list_len,plain_ibd_bytes,part_ibd_bytes
1785435242.0,0,138412032,1966080
1785435243.1,1,138412032,2260992
1785435244.2,1,138412032,2539520
1785435245.2,1,138412032,2785280
1785435246.3,1,138412032,12320768
1785435247.4,1,138412032,12320768
1785435248.5,1,138412032,13369344
1785435249.5,1,138412032,13369344
1785435250.6,1,138412032,13369344
1785435251.7,1,138412032,13369344
1785435252.8,0,138412032,13500416
1785435253.8,0,138412032,13500416
1785435254.9,0,138412032,13500416
1785435256.0,0,138412032,14548992
1785435257.1,0,138412032,14548992
1785435258.1,0,138412032,14548992
1785435259.2,0,138412032,14548992
1785435260.3,0,138412032,14548992
1785435261.4,0,138412032,15597568
1785435262.4,0,138412032,15597568
1785435263.5,1,138412032,15597568
1785435264.6,1,138412032,15597568
1785435265.7,1,138412032,16646144
1785435266.8,1,138412032,17694720
1785435267.8,1,138412032,17694720
1785435268.9,1,138412032,17694720
1785435270.0,1,138412032,17694720
1785435271.1,1,138412032,18743296
1785435272.2,1,138412032,18743296
1785435273.3,1,138412032,19791872
1785435274.3,1,138412032,19791872
1785435275.4,0,138412032,19791872
1785435276.5,1,138412032,20840448
1785435277.6,1,138412032,20840448
1785435278.7,1,138412032,20840448
1785435279.8,1,138412032,20840448
1785435280.9,1,138412032,20840448
1785435281.9,1,138412032,20840448
1785435283.0,1,138412032,20840448
1785435284.1,1,138412032,21889024
